t,X1,X2,X3,X4,X5,X6,X7,X8
1,1,5,4,1,4,2,0,1
2,1,2,8,3,3,0,5,4
3,0,8,5,5,7,0,3,1
4,0,2,6,4,6,2,3,1
5,2,10,3,1,2,1,0,0
6,4,0,2,1,0,6,8,1
7,5,2,2,5,1,0,5,1
8,1,1,2,0,3,0,1,2
9,8,3,3,0,2,9,2,0
10,2,3,1,1,10,1,0,1
11,2,8,2,2,2,4,1,2
12,6,1,1,2,0,0,3,1
13,0,1,2,5,0,5,4,2
14,3,4,1,5,1,1,2,1
15,0,1,3,2,6,3,7,1
16,8,6,3,2,4,3,0,6
17,2,3,2,1,1,1,5,1
18,2,3,2,1,1,5,2,1
19,8,1,1,2,0,1,5,2
20,1,0,2,4,4,3,7,0
21,2,6,0,2,5,2,0,3
22,5,1,8,0,4,3,5,6
23,1,2,4,1,3,2,4,3
24,1,7,2,0,1,1,2,7
25,5,1,3,8,4,1,1,2
26,5,2,5,5,2,2,1,3
27,5,1,1,1,5,4,1,0
28,1,1,1,5,2,3,4,3
29,3,0,0,1,0,3,1,1
30,2,5,4,3,3,2,7,0
31,2,2,1,5,1,2,2,3
32,2,1,1,1,0,4,0,6
33,11,5,3,1,10,3,3,1
34,1,0,5,0,2,7,8,0
35,0,1,1,1,0,9,1,6
36,4,1,2,5,0,0,1,2
37,0,2,0,1,1,0,0,1
38,0,2,2,2,5,1,2,0
39,3,7,1,11,6,4,1,3
40,3,2,4,3,1,4,5,2
41,2,1,0,1,1,9,5,3
42,3,5,2,1,9,0,4,2
43,0,2,2,5,0,7,2,5
44,9,0,1,1,0,1,1,4
45,1,0,4,0,5,8,3,10
46,0,2,0,2,3,3,4,5
47,2,0,0,0,0,3,0,11
48,1,7,8,0,3,3,2,1
49,1,2,5,1,5,1,2,6
50,3,7,7,2,2,2,9,0
51,4,1,10,7,2,6,11,11
52,6,5,5,5,11,2,2,1
53,3,7,8,4,11,5,3,4
54,5,4,1,7,8,7,0,0
55,9,0,7,8,0,5,9,6
56,6,1,3,1,2,3,2,5
57,0,8,8,8,2,3,2,7
58,5,1,2,4,4,1,6,3
59,1,6,2,3,3,6,1,5
60,0,8,4,6,9,2,8,4
61,0,7,8,1,1,6,4,8
62,0,10,6,3,4,8,4,0
63,5,7,5,1,5,4,7,2
64,1,3,8,9,4,3,6,1
65,7,6,3,0,8,9,5,3
66,4,4,3,4,2,5,6,6
67,3,9,2,7,4,4,5,4
68,4,10,3,7,1,7,1,6
69,5,5,2,1,0,3,2,1
70,6,1,0,8,5,5,4,1
71,7,1,0,3,4,7,8,6
72,6,1,4,2,1,3,0,1
73,2,2,1,1,8,2,4,3
74,3,1,2,1,8,1,8,1
75,1,9,2,3,0,3,0,1
76,4,4,3,8,2,6,1,9
77,6,10,5,3,0,0,7,3
78,0,1,2,3,1,1,2,1
79,5,3,0,0,2,1,3,0
80,3,1,4,5,0,7,2,2
81,0,1,5,2,1,6,3,3
82,9,0,5,4,0,0,3,0
83,0,1,4,1,1,5,1,8
84,7,1,8,2,1,14,5,3
85,2,1,1,3,1,4,5,0
86,0,0,2,3,2,1,2,1
87,1,6,3,3,5,7,5,8
88,8,0,5,2,6,4,8,3
89,7,8,5,5,5,1,2,2
90,5,4,0,1,0,2,8,0
91,7,5,5,3,8,6,7,3
92,0,1,4,1,3,4,2,4
93,4,8,1,6,11,2,4,5
94,4,6,4,5,0,5,5,9
95,8,2,4,6,6,4,9,1
96,0,7,7,1,3,6,2,4
97,2,5,3,1,6,5,6,0
98,6,8,0,8,1,1,4,7
99,8,2,4,1,1,6,5,5
100,1,3,4,5,6,3,3,4
