t,X1,X2,X3,X4,X5
1,1,0,0,0,6
2,0,1,1,0,1
3,2,1,2,1,1
4,0,1,0,1,4
5,0,4,1,4,0
6,5,0,1,5,5
7,3,4,4,2,5
8,1,8,1,3,0
9,3,5,1,0,6
10,3,1,0,7,6
11,1,5,4,7,0
12,6,4,3,6,8
13,0,4,1,5,10
14,6,1,7,2,5
15,1,6,5,1,4
16,1,6,6,4,1
17,3,5,5,0,5
18,5,7,2,9,6
19,3,2,7,3,1
20,6,1,4,4,3
21,1,5,7,8,4
22,6,5,4,3,3
23,1,5,1,1,6
24,6,0,6,1,3
25,1,0,0,0,6
26,4,1,0,2,2
27,0,4,6,0,2
28,1,2,5,0,1
29,3,1,2,3,1
30,5,0,3,7,4
31,6,2,3,0,0
32,1,0,3,7,9
33,0,6,0,5,1
34,5,4,3,1,8
35,4,4,8,7,8
36,5,8,2,0,5
37,4,5,2,7,4
38,6,1,4,2,5
39,7,6,0,0,0
40,6,0,6,0,3
41,0,2,2,2,9
42,5,3,3,6,2
43,3,10,5,2,4
44,4,5,1,4,1
45,6,2,2,7,9
46,3,5,2,1,2
47,6,9,5,2,7
48,3,3,2,1,8
49,0,6,0,2,4
50,4,3,1,4,5
51,6,4,2,8,6
52,5,6,4,7,9
53,5,4,1,0,3
54,1,5,3,0,3
55,2,3,6,5,4
56,5,0,1,4,1
57,3,6,8,4,10
58,2,6,3,8,2
59,0,6,3,1,7
60,3,3,2,2,7
61,0,2,4,7,3
62,2,2,1,2,7
63,6,2,3,3,0
64,6,0,4,3,0
65,4,5,4,5,1
66,7,0,5,1,4
67,5,1,4,2,0
68,0,0,2,6,1
69,2,2,5,3,1
70,0,1,9,0,5
71,0,3,2,6,0
72,0,0,1,0,1
73,0,1,0,0,1
74,0,0,0,0,2
75,0,0,0,0,0
76,0,0,3,1,0
77,0,0,0,0,0
78,1,1,1,0,0
79,0,2,0,1,0
80,1,0,2,2,0
81,0,1,6,1,1
82,2,0,0,1,8
83,2,0,1,1,2
84,4,0,0,0,0
85,0,0,0,0,1
86,1,3,0,1,1
87,0,4,0,1,0
88,0,4,2,0,0
89,1,0,1,2,2
90,4,0,1,0,5
91,3,0,0,5,0
92,0,9,0,0,3
93,0,0,4,1,0
94,5,0,1,0,4
95,0,1,2,4,0
96,1,0,0,0,2
97,0,0,0,0,1
98,0,2,6,3,3
99,5,1,6,2,11
100,1,0,2,0,0
