t,X1,X2,X3,X4,X5,X6,X7,X8
1,1,6,4,2,2,3,0,0
2,2,1,7,8,4,3,1,1
3,3,7,3,4,7,6,4,5
4,7,5,3,1,1,2,6,4
5,3,1,2,7,3,6,8,4
6,0,0,2,3,5,7,4,2
7,1,5,1,0,1,1,2,2
8,1,1,1,3,2,2,3,7
9,2,5,0,1,2,7,8,3
10,4,4,7,4,4,4,1,6
11,0,1,6,1,1,0,0,3
12,8,2,0,6,5,5,2,5
13,2,0,0,1,1,4,0,0
14,3,1,3,6,3,1,1,0
15,1,0,2,4,1,6,5,0
16,5,2,6,1,3,5,4,4
17,1,5,0,0,5,2,1,6
18,6,1,2,1,5,0,1,4
19,1,1,5,5,7,7,2,3
20,0,8,10,2,1,5,1,5
21,3,2,3,2,2,4,8,4
22,5,1,0,4,2,1,7,0
23,7,7,0,2,2,3,6,4
24,2,0,5,1,1,1,5,0
25,1,0,3,1,6,0,0,4
26,2,6,3,1,3,2,2,2
27,7,7,4,2,5,8,7,1
28,3,5,5,4,6,3,5,1
29,4,7,7,11,1,1,1,4
30,5,1,0,1,2,6,1,2
31,5,1,2,2,7,4,0,4
32,3,2,2,1,1,6,0,1
33,2,0,2,4,3,3,6,1
34,0,2,0,3,2,0,2,2
35,0,1,2,2,0,0,7,0
36,1,1,4,2,1,0,5,8
37,2,1,0,1,2,0,3,0
38,1,2,0,2,1,2,0,1
39,1,8,1,1,3,2,0,2
40,1,3,1,1,0,2,0,3
41,1,1,1,3,1,0,1,0
42,3,0,4,2,0,3,0,1
43,1,5,1,2,1,0,2,1
44,1,1,1,2,2,8,6,2
45,0,3,1,3,4,0,1,1
46,0,1,2,1,1,2,0,1
47,4,0,0,2,8,0,3,5
48,0,2,0,8,7,1,0,4
49,2,6,2,3,1,1,3,0
50,5,1,1,2,6,2,1,4
51,4,4,5,0,5,3,3,2
52,0,0,0,0,1,6,5,3
53,1,0,0,1,9,1,4,4
54,3,2,0,5,1,1,7,5
55,3,0,4,3,7,0,2,5
56,8,0,1,4,2,2,1,3
57,1,4,5,2,2,1,0,6
58,6,8,1,3,0,6,2,7
59,1,5,4,5,2,8,6,5
60,3,4,5,6,6,7,1,3
61,0,5,7,7,6,6,3,3
62,11,1,1,3,0,4,0,2
63,5,5,2,5,2,1,8,0
64,4,0,1,5,5,2,2,4
65,8,1,2,4,5,2,2,0
66,4,7,7,3,7,4,1,3
67,4,6,4,4,3,2,6,8
68,4,7,2,3,4,2,1,7
69,3,0,6,4,7,5,5,7
70,9,4,1,9,3,2,2,1
71,5,2,6,3,7,2,0,2
72,0,2,8,4,1,3,1,3
73,6,3,10,0,10,4,5,1
74,1,0,2,8,1,3,3,1
75,2,2,0,2,3,1,2,7
76,4,5,4,1,1,1,0,4
77,1,2,2,1,4,0,1,3
78,0,3,1,3,1,3,3,1
79,2,0,5,0,3,0,2,2
80,3,9,3,7,3,12,3,1
81,4,6,10,0,3,7,4,1
82,5,2,2,2,2,5,7,5
83,5,3,5,8,0,4,5,1
84,3,8,2,3,6,4,2,6
85,4,6,7,7,1,2,5,4
86,5,4,1,2,1,7,1,4
87,6,5,9,4,1,3,7,3
88,6,2,0,7,6,4,10,1
89,5,2,6,3,1,2,6,6
90,9,1,1,8,14,3,7,5
91,0,6,3,5,5,1,1,5
92,6,7,4,6,5,3,6,3
93,5,9,1,6,0,7,7,4
94,5,7,5,3,0,1,6,5
95,8,3,6,0,4,5,7,1
96,2,5,1,1,1,1,1,5
97,1,4,1,0,3,4,1,3
98,1,2,5,0,4,4,1,3
99,2,0,1,4,5,1,0,3
100,8,4,1,3,3,0,0,2
