t,X1,X2,X3,X4,X5,X6,X7,X8
1,2,1,6,0,2,1,0,0
2,2,4,1,7,1,1,2,3
3,5,0,2,3,3,9,4,3
4,6,4,5,5,5,0,4,6
5,1,5,7,3,2,0,3,7
6,5,4,2,0,3,4,4,7
7,5,0,1,2,6,3,4,9
8,2,7,4,2,2,7,7,7
9,4,2,4,2,2,7,1,3
10,5,5,4,4,6,2,1,4
11,2,5,0,3,4,3,4,1
12,3,5,5,3,9,4,9,0
13,3,0,3,7,4,3,9,4
14,3,3,4,1,6,7,7,3
15,4,4,1,6,5,3,3,4
16,3,1,9,6,4,4,6,3
17,5,4,5,5,6,3,0,6
18,2,3,5,5,1,5,7,1
19,2,6,1,4,4,2,5,0
20,6,3,5,3,3,1,4,3
21,4,5,2,6,4,9,8,3
22,5,2,6,0,5,1,1,4
23,2,4,9,7,4,2,3,4
24,3,3,1,2,3,4,6,0
25,0,4,3,3,3,6,7,4
26,1,5,1,4,4,2,5,8
27,4,0,3,7,5,2,3,1
28,6,6,2,0,3,2,0,4
29,0,0,2,7,2,1,4,5
30,5,5,3,0,5,4,1,6
31,5,4,0,5,1,7,7,4
32,2,4,2,3,5,6,5,5
33,3,6,5,6,5,4,1,4
34,5,4,7,10,5,2,0,8
35,6,2,6,4,8,7,4,4
36,1,7,5,5,6,4,4,3
37,3,3,7,4,10,6,4,6
38,5,5,3,1,1,5,2,3
39,2,2,4,6,2,6,3,4
40,1,6,2,1,8,3,3,7
41,3,7,0,9,6,4,4,6
42,7,1,1,0,0,9,6,4
43,6,10,6,2,2,4,2,2
44,4,1,2,3,2,3,0,1
45,6,3,5,2,5,5,0,3
46,1,6,3,6,7,5,3,7
47,0,6,1,1,4,3,2,0
48,0,0,5,1,0,2,1,0
49,2,2,1,4,3,5,3,4
50,1,3,5,1,7,3,4,3
51,0,2,0,3,3,6,7,5
52,1,0,2,2,3,6,0,0
53,3,1,4,2,5,5,0,7
54,6,2,4,2,1,5,5,0
55,1,1,2,2,1,2,1,1
56,1,1,2,0,0,0,2,1
57,0,4,4,0,4,2,1,9
58,2,1,1,2,5,1,1,0
59,3,2,3,2,0,1,0,0
60,4,3,6,2,1,4,4,9
61,4,1,3,0,5,2,1,0
62,5,8,5,3,6,2,4,3
63,3,4,1,4,2,8,4,6
64,3,4,2,4,2,7,1,4
65,8,6,3,4,7,3,1,3
66,7,7,4,6,4,1,7,5
67,1,2,2,2,4,4,6,2
68,1,5,6,3,4,3,8,6
69,5,1,1,6,5,6,0,0
70,3,5,1,2,3,6,6,4
71,2,2,3,11,5,3,4,5
72,3,6,1,1,5,0,2,3
73,7,1,5,2,4,6,6,2
74,0,0,1,1,5,1,2,4
75,10,5,6,0,1,6,9,6
76,3,3,0,5,2,9,0,5
77,4,4,0,6,8,2,3,1
78,3,1,2,3,4,1,6,7
79,3,1,1,4,1,2,7,2
80,0,4,8,0,4,8,5,5
81,2,6,5,3,5,7,5,0
82,7,5,3,2,2,1,1,5
83,0,1,7,1,0,3,5,3
84,4,4,2,8,0,2,10,5
85,0,7,3,3,5,4,6,6
86,3,4,4,0,0,6,3,5
87,1,4,6,4,4,6,8,5
88,3,7,7,6,5,6,3,3
89,7,12,2,5,1,1,1,0
90,5,3,2,2,2,1,3,5
91,8,6,1,6,6,8,5,4
92,4,5,6,2,2,0,1,3
93,7,2,2,6,6,7,6,4
94,2,5,6,7,2,2,6,1
95,2,1,11,4,5,5,4,7
96,5,2,7,3,1,2,6,6
97,3,6,6,7,5,7,1,4
98,5,1,2,2,5,7,11,1
99,1,1,6,1,6,1,1,7
100,2,1,1,3,1,2,2,3
