t,X1,X2,X3,X4,X5,X6,X7,X8
1,6,2,3,0,0,1,4,4
2,0,3,4,2,6,7,1,6
3,4,3,5,3,0,6,6,4
4,0,1,1,2,2,1,1,1
5,3,8,2,2,1,0,0,0
6,0,1,1,0,0,1,2,3
7,0,1,0,1,1,1,1,1
8,0,6,1,0,0,2,11,1
9,1,2,1,0,1,1,1,1
10,1,1,3,4,6,2,2,0
11,1,0,1,1,9,1,0,1
12,7,2,2,1,3,0,1,1
13,0,0,1,3,0,0,0,1
14,1,0,0,3,1,1,3,0
15,1,1,2,1,1,2,10,0
16,3,2,1,2,1,0,0,1
17,4,0,3,7,0,0,0,8
18,6,4,10,0,7,2,1,7
19,0,1,4,1,0,9,7,1
20,7,4,0,3,2,0,7,1
21,1,2,0,10,8,1,3,8
22,2,2,3,0,0,1,1,9
23,1,10,5,8,2,1,8,5
24,0,0,1,1,0,4,0,1
25,1,1,6,1,0,2,0,1
26,9,0,0,1,1,1,1,2
27,1,1,2,1,1,1,0,2
28,1,0,2,2,0,0,2,2
29,0,1,0,0,5,0,1,0
30,1,1,0,1,1,0,0,3
31,8,0,2,0,3,8,2,2
32,3,1,3,4,4,8,12,7
33,1,2,4,8,2,2,1,0
34,1,0,1,2,0,4,1,3
35,5,8,1,6,1,0,1,8
36,7,0,4,0,3,5,3,4
37,2,4,1,0,1,1,8,2
38,0,0,2,0,5,1,6,1
39,1,8,4,1,4,6,6,7
40,7,0,1,2,0,7,2,0
41,5,3,5,14,8,0,5,1
42,0,1,1,1,2,2,2,0
43,1,3,1,0,0,0,0,2
44,0,0,0,2,2,0,1,0
45,1,4,1,0,4,0,2,0
46,2,0,0,0,0,0,1,0
47,1,0,1,1,2,1,1,2
48,0,1,0,1,1,0,0,0
49,1,1,0,0,1,0,1,2
50,0,0,2,0,2,1,1,1
51,0,3,1,2,1,1,0,0
52,1,0,1,1,1,0,0,0
53,3,3,1,1,3,0,1,3
54,0,0,0,1,1,0,0,0
55,1,0,1,0,1,2,0,0
56,4,1,0,2,0,1,2,2
57,0,0,0,2,2,2,0,0
58,1,1,1,2,3,1,1,0
59,0,1,2,1,4,5,2,1
60,1,1,2,0,3,3,0,1
61,2,2,1,0,2,1,1,0
62,1,1,1,0,0,0,1,0
63,0,1,2,1,1,0,0,0
64,1,0,0,1,0,0,0,1
65,0,0,2,1,2,0,0,1
66,1,0,0,0,2,1,1,1
67,1,0,1,0,2,1,0,1
68,1,1,0,0,1,0,0,0
69,1,5,2,1,1,1,0,0
70,2,6,0,1,2,0,0,0
71,0,0,2,0,4,1,2,1
72,1,0,2,0,2,1,1,1
73,0,1,1,0,2,2,1,3
74,1,5,2,1,1,3,0,1
75,1,1,1,0,0,0,0,1
76,2,0,1,1,0,1,0,1
77,1,0,2,0,1,0,0,5
78,0,0,2,1,2,5,5,1
79,1,9,1,3,0,1,1,1
80,1,5,0,1,0,0,2,3
81,1,1,1,1,0,1,2,0
82,0,2,1,2,1,0,1,0
83,0,0,0,3,1,2,1,0
84,1,0,0,0,0,1,0,1
85,1,1,3,1,0,1,1,0
86,0,1,2,1,0,1,0,11
87,0,1,2,1,1,0,0,0
88,6,0,1,0,1,3,3,2
89,1,3,1,1,1,0,1,1
90,1,1,2,2,1,2,0,0
91,0,1,1,0,1,1,0,1
92,1,0,0,0,0,3,0,3
93,1,1,0,1,2,1,5,0
94,0,0,4,1,1,0,0,0
95,0,0,3,11,1,7,3,5
96,0,0,2,2,0,1,2,2
97,9,0,0,2,4,0,0,1
98,1,1,1,1,1,1,2,0
99,0,1,0,1,0,1,0,1
100,2,1,4,0,2,6,8,1
